rank,keyword,seo_title,intent,concorrencia_score,dificuldade,oportunidade_score,suggested_shoes,outline
1,melhor tenis de corrida feminino barato,Os Melhor Tenis De Corrida Feminino Barato que Valem a Pena em 2026,Comercial,50,Média,64,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
2,melhor tenis de corrida barato,Os Melhor Tenis De Corrida Barato que Valem a Pena em 2026,Comercial,50,Média,64,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
3,melhor tênis de corrida até 500 reais,Os Melhor Tênis De Corrida Até 500 Reais que Valem a Pena em 2026,Comercial,50,Média,62,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
4,melhor tenis de corrida mais barato,Os Melhor Tenis De Corrida Mais Barato que Valem a Pena em 2026,Comercial,50,Média,62,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
5,melhor tenis de corrida masculino barato,Os Melhor Tenis De Corrida Masculino Barato que Valem a Pena em 2026,Comercial,50,Média,60,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
6,melhor tênis de corrida barato,Os Melhor Tênis De Corrida Barato que Valem a Pena em 2026,Comercial,50,Média,60,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
7,tenis de corrida melhor custo beneficio feminino,Os Tenis De Corrida Melhor Custo Beneficio Feminino que Valem a Pena em 2026,Comercial,50,Média,58,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
8,tenis de corrida melhor custo beneficio masculino,Os Tenis De Corrida Melhor Custo Beneficio Masculino que Valem a Pena em 2026,Comercial,50,Média,58,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
9,tenis de corrida feminino melhor custo beneficio 2025,Os Tenis De Corrida Feminino Melhor Custo Beneficio 2025 que Valem a Pena em 2026,Comercial,50,Média,58,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
10,tenis de corrida masculino melhor custo beneficio 2025,Os Tenis De Corrida Masculino Melhor Custo Beneficio 2025 que Valem a Pena em 2026,Comercial,50,Média,58,"Olympikus Corre 3, Nike Pegasus 40, Mizuno Wave Rider 27, Adidas Duramo Speed","## 1. Introdução: Por que Escolher com Cuidado? | ## 2. Fatores Críticos a Analisar (Amortecimento, Peso, Drop) | ## 3. Tabela Resumo dos Selecionados | ## 4. Análise Detalhada dos Melhores Modelos | ## 5. Qual o Mais Barato do Ranking? | ## 6. Como Identificar Sua Pisada Corrida | ## 7. Conclusão: Escolha do Editor"
