# masculino|feminino|outro,# marca,# nome do tênis,# URL da imagem,# emoji,# tag1|tag2,# R$ 000,# ate300 / 300a600 / 600a1000 / acima1000,# iniciante|intermediario|avancado,# neutra|pronada|supinada|naosabe,# asfalto|trilha|pista|esteira|mista,# amortecimento|leveza|durabilidade|custo,# motivo da recomendação,# link afiliado Amazon,popular,# link Loja Oficial Marca,# link afiliado Netshoes
masculino,ADIDAS,Adizero Adios Pro 3,https://images-na.ssl-images-amazon.com/images/I/510yX4xGvRL.jpg,👟,Carbono|Maratona,R$1.907,acima1000,avancado,neutra,asfalto|pista|esteira|mista,leveza,5 hastes de fibra de carbono EnergyRods 2.0. O favorito dos campeões de maratona no mundo inteiro.,https://amzn.to/4l8FKKD,,-,-
masculino,ADIDAS,Adizero Boston 12,https://images-na.ssl-images-amazon.com/images/I/51BdaavP3NL.jpg,👟,Semi-carbono|Velocidade,R$1.037,acima1000,intermediario|avancado,neutra,asfalto|pista,leveza,"A porta de entrada para os tênis de velocidade. Lightstrike Pro sem placa de carbono, mas com toda a rapidez.",https://amzn.to/4rOAgau,,-,-
unissex,ADIDAS,Response Runner 2,https://m.media-amazon.com/images/I/51yBZPU0PtL._AC_SY500_.jpg,👟,Entrada|Estável,R$400,300a600,iniciante,neutra|naosabe,asfalto|pista|esteira|mista,custo|durabilidade,Estrutura firme e estável para iniciantes. Entrega tração e durabilidade para treinos diários sem gastar muito.,https://amzn.to/4b7FF5t,,-,-
masculino,ADIDAS,Ultraboost 23,https://images-na.ssl-images-amazon.com/images/I/5115S2IKIKL.jpg,👟,Boost|Energia|Premium,R$945,600a1000,intermediario|avancado,neutra,asfalto|pista|esteira|mista,amortecimento|leveza,Tecnologia Boost devolve energia a cada passada. Queridinho para longas distâncias com conforto máximo.,https://amzn.to/4cKN7pN,,-,-
feminino,ADIDAS,Ultraboost 5,https://m.media-amazon.com/images/I/51G36T8+hbL._AC_SY625_.jpg,👟,Boost|Leveza|Premium,R$1.128,acima1000,intermediario|avancado,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|leveza,Lightboost 2.0 mais leve e responsivo. Primeknit ajusta como uma meia. Excelente para treinos longos com retorno máximo de energia.,https://amzn.to/4aSJBs0,,,
feminino,ADIDAS,Duramo Speed 2,"https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/4292d0b4a91745f7a97e6fc9fd12740a_9366/Sapatilhas_de_Running_Duramo_Speed_2_Preto_IH8201_HM1.jpg",👟,Lightstrike|Leve|Treino Diário,R$421,300a600,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,leveza|custo,Lightstrike responsivo com solado TPU durável. Leve e rápido para treinos diários até 10km. Excelente custo-benefício para quem quer performance sem gastar muito.,https://amzn.to/4rM59MM,,,
feminino,Adidas,Ultraboost 22,https://m.media-amazon.com/images/I/510EloSk7eL._AC_SY625_.jpg,👟,Amortecimento|Leveza|Retorno de energia,"1.851,66",acima1000,iniciante|intermediario|avancado,neutra,asfalto|esteira|mista,amortecimento|leveza|retorno,"Entressola Boost com retorno de energia excepcional, cabedal tipo meia e solado Continental para máximo amortecimento e tração",https://amzn.to/4un9Bn2,,,
masculino,ASICS,Gel-Cumulus 26,https://images-na.ssl-images-amazon.com/images/I/71Y43mJ5zeL.jpg,👟,Neutro|Treino Diário,R$900,600a1000,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|custo,Gel duplo + FlyteFoam para treinos diários confortáveis. Irmão mais acessível do Nimbus.,https://amzn.to/477x4ys,sim,-,-
masculino,ASICS,Gel-Kayano 31,https://images-na.ssl-images-amazon.com/images/I/61lZORb7jLL.jpg,👟,Controle|Pronação,R$1.540,acima1000,intermediario|avancado,pronada,asfalto|pista|esteira|mista,amortecimento|durabilidade,Desenvolvido para pronadores. Suporte medial avançado + Gel duplo: estabilidade sem abrir mão do conforto.,https://amzn.to/4b8n1uk,,-,-
masculino,ASICS,Gel-Kayano 31 Matcha,https://m.media-amazon.com/images/I/61BJEFWbbnL._AC_SY500_.jpg,👟,Controle|Pronação,R$1.174,acima1000,intermediario|avancado,pronada,asfalto|pista|esteira|mista,amortecimento|durabilidade,O melhor tênis de controle de pronação. Suporte medial + Gel duplo para estabilidade máxima.,https://amzn.to/3OFw26D,,-,-
